ID,TOWN-CODE,Turnover_Ingresos_2012,Turnover_Ingresos_2011,WorkingCapital_FondoManiobra_2012,WorkingCapital_FondoManiobra_2011,CurrentAssets_ActivoCirculante_2012,CurrentAssets_ActivoCirculante_2011,CurrentLiability_PasivoLiquido_2012,CurrentLiability_PasivoLiquido_2011,Amortization_Amortizacion_2012,Amortization_Amortizacion_2011,IntangibleAssets_InmovilizadoInmaterial_2012,IntangibleAssets_InmovilizadoInmaterial_2011,TangibleAssets_InmovilizadoMaterial_2012,TangibleAssets_InmovilizadoMaterial_2011,AverageCollectionPeriod_PeriodoMedioDeCobro_2012,AverageCollectionPeriod_PeriodoMedioDeCobro_2011,AveragePaymentPeriod_PeriodoMedioDePago_2012,AveragePaymentPeriod_PeriodoMedioDePago_2011,InventoryTurnOver_RotacionDeInventario_2012,InventoryTurnOver_RotacionDeInventario_2011,Dividends_Dividendo_2011,Dividends_Dividendo_2012,LeveragePerc_ApalancamientoPerc_2012,LeveragePerc_ApalancamientoPerc_2011,Procurements_Aprovisionamientos_2011,Procurements_Aprovisionamientos_2012,Equity_Capital_2012,Equity_Capital_2011,Cash_Tesoreria_2012,Cash_Tesoreria_2011,ShortTermFinancialInvestments_InversionesFinancierasCortoPlazo_2011,ShortTermFinancialInvestments_InversionesFinancierasCortoPlazo_2012,LongTermFinancialInvestments_InversionesFinancierasLargoPlazo_2012,LongTermFinancialInvestments_InversionesFinancierasLargoPlazo_2011,Stock_Existencias_2012,Stock_Existencias_2011,FinancialExpenditures_2012,FinancialExpenditures_2011,FinancialDebt_DeudasFinancieras_2012,FinancialDebt_DeudasFinancieras_2011,LongTermDebt_DeudasLargoPlazo_2012,LongTermDebt_DeudasLargoPlazo_2011,ShortTermDebt_DeudasCortoPlazo_2012,ShortTermDebt_DeudasCortoPlazo_2011,TARGET
778,108,982.52225,1249.56408,214.92956,199.26713,340.08916,305.31981,190.84144,174.458,7.7225,8.64756,0.01833,0.18972,185.42227,192.97338,46.191,44.075,66.23,40.743,78.834,39.005,0,0,82.58,77.103,-828.2332,-580.22331,160.10121,160.10121,2.66698,27.15075,31.325,80,9.789,12.894,127.05994,89.73851,18.88561,13.16775,72.49194,72.14729,116.17392,106.01227,72.49194,72.14729,0
779,807,101.10416,108.21755,36.396979,30.46476,49.09266,52.54438,57.64346,56.97744,5.69894,6.14838,0,0,30.27208,35.97102,47.162,32.622,209.248,231.196,350.51,292.274,0,0,319.717,290.648,-43.17882,-36.00485,3.00506,3.00506,0.79163,7.68206,0,0,0,0,35.05576,35.05576,2.6793,2.82489,10.988,15.488,13.92812,19.50003,22.33821,16.34821,0
780,678,3856.88741,4021.75115,1320.36756,1092.835799,2145.498359,1811.92366,1198.67016,1055.97804,4.68969,6.26763,0,0,82.31359,69.71637,135.799,108.277,165.14,133.324,99.526,77.689,0,0,148.027,107.978,-2416.57693,-2196.32945,6.01,6.01,13.7835,19.38472,61.40625,69.60991,0.5829,0.37701,607.20289,521.50889,38.54348,38.22875,120.63805,100.28935,559.79165,369.79297,120.63805,100.28935,0
781,860,11205.70457,11585.16369,2867.02358,3342.47806,4915.99357,4217.67338,2456.39679,1608.64555,414.30179,244.32993,122.21199,128.41203,3778.00456,1977.57618,78.081,82.323,107.022,64.783,94.717,84.195,0,0,51.925,86.431,-6002.71054,-6007.49793,607.806,607.806,164.90066,45.28325,109.5635,730.81041,17.49493,6.87587,1580.59844,1403.88431,35.18663,39.02308,3.49612,124.84617,2091.12118,1905.94496,39.67736,153.87511,0
782,510,4641.143149,6734.11623,104.30941,180.59921,420.75291,853.09628,375.98992,897.70164,17.61508,20.82071,2.14807,3.19621,194.85749,211.42443,6.53,8.557,5.454,2.903,2.566,1.256,0,0,79.484,121.926,-5880.12563,-3846.44737,674.923,674.923,105.01457,219.77536,70.02888,32.96673,21.44023,21.44023,27.41733,20.516,102.07298,125.58898,313.65256,847.35139,252.37444,204.90234,313.65256,848.22915,0
783,767,1686.49083,1060.03648,74898.46181,74899.55654,78075.36888,78419.34255,7806.27921,6880.00229,47.85754,52.57696,0,0,684.70662,732.05416,275.059,240.451,2027.241,2272.434,32680.946,127309.275,0,0,0,0,-213.99191,-826.83952,17.2791,17.2791,0,25.69834,693.52908,402.15963,208.05229,189.05229,75060.82796,75675.43055,1082.50333,2717.03456,1265.98813,369.70662,73716.70312,74268.51865,1307.76272,440.37162,0
784,1004,132.82782,185.03379,15.337379,25.60657,50.13522,36.28308,52.55126,65.23017,36.60087,32.7605,0,0,132.75067,166.34575,95.123,49.843,128.039,84.598,47.604,41.367,0,0,35.311,78.245,-82.67386,-71.8422,19.46,19.46,4.46156,1.16454,0,1.07628,1.6011,1.6011,9.5,9.5,1.33427,1.8131,20.23902,31.94827,20.26907,40.50809,20.23902,37.95527,0
785,226,581.30892,551.178049,69.875579,99.019819,146.02196,157.98457,141.90618,161.65879,37.11918,31.45083,0.11267,0.83694,355.56369,399.49373,0,1.352,102.712,100.162,222.169,281.805,0,0,447.599,560.565,-191.07695,-217.98039,40,40,7.84337,2.67809,3.66212,3.655,0,0,134.52359,149.5738,4.54123,5.12757,26.91207,27.71856,289.17409,332.4123,26.91207,55.08988,0
786,1114,2366.43555,2347.33691,921.07375,911.95289,1438.24785,1447.92199,848.58615,890.28556,38.24417,32.13036,0,0,540.21915,561.53705,84.397,81.199,109.353,118.616,176.142,181.817,0,0,58.882,64.845,-1818.57609,-1805.63059,36.06073,36.06073,0,0,0,0,15.37215,21.46001,883.46972,918.46972,68.75838,67.73371,65.13882,61.47984,335.24601,363.79297,243.30367,238.5324,0
787,479,62.87857,129.21887,36.21727,41.79761,62.04863,69.2597,47.91734,55.12615,2.78315,5.46213,0,0,144.18639,146.96954,0,42.739,44.306,121.264,381.841,316.868,0,0,0,0,-47.72829,-38.37198,3.00506,3.00506,21.34863,11.90874,0,0,0.94479,0.94479,40.7,42.01,2.49748,2.37396,15.7,15.7,176.02718,176.0436,42.46047,37.305,0
788,814,401.27116,452.04824,129.41952,83.62886,267.59378,189.41063,402.77314,354.30475,43.04071,45.26986,0,0,468.53542,511.57613,4.354,4.076,122.745,94.91,540.057,307.096,0,0,1.177,3.664,-127.54579,-102.25595,139.76,139.76,108.90612,75.05606,0.4334,0.4334,118.1862,100,153.40022,108.80235,0.71584,1.64727,5.31944,10.86316,0,5.31944,346.83454,305.37826,0
789,123,20.92028,21.77957,27.66594,40.93805,45.00145,50.37854,67.86223,76.36658,0,0,0,0,0,0,261.992,432.011,394.7,253.139,691.16,648.374,0,0,-156.302,-192.024,-13.43667,-14.53209,3.006,3.006,1.87659,0.04235,0,0,0,0,27.9,24.2,2.59741,1.97736,35.7319,49.90335,0,0,51.2019,65.07335,0
790,23,4993.35052,5541.50137,1771.777059,1787.94004,2948.05291,2384.90171,708.69991,548.63948,235.81113,232.04093,0.1703,0.96459,2600.28663,2724.98166,83.586,69.523,91.546,59.683,159.074,132.085,0,0,0,0,-2660.28803,-2102.20824,207.012,207.012,805.50898,294.30926,0,0,1.82647,2.25511,928.90991,976.06799,50.690859,118.315849,6.41099,4.01111,4937.54024,5021.02782,6.41099,4.01111,0
791,456,3935.35064,4119.07135,618.49292,552.41754,1321.81324,1347.04507,943.74366,1011.50495,68.07242,61.79214,44.98293,27.27922,373.36082,394.43349,109.839,106.956,111.393,109.836,17.3,16.362,0,0,64.799,70.262,-2712.05901,-2519.88021,15.0253,15.0253,0,0,0,0,69.08309,62.3068,121.09652,123.26856,33.120309,30.47756,34.34142,60.08765,294.45705,277.60953,53.12426,60.08765,0
792,197,263.89759,426.52392,72.99353,130.34045,795.7885,856.97199,38.71339,49.55505,18.89502,16.89396,0,0,71.5182,90.41322,77.731,107.184,59.59,51.14,45.759,6.898,0,0,0.284,0.102,-174.82097,-125.97721,6.01012,6.01012,295.62062,383.23871,343.39283,427.17435,2.10462,2.10462,16.01279,3.35,0,0.04436,2.40979,0.92128,0,0,8.71878,14.09681,1
793,575,115.18908,0,43.535,0,61.46505,0,67.81256,0,2.55236,0,0,0,6.9849,0,164.14,0,319.371,0,0,0,0,0,0,0,0,-39.32634,3,0,0,0,0,8.94495,0,0,0,0,0.02848,0,12.11594,0,0,0,19.02869,0,0
